Postcode;Plaatsnaam;Gemeentecode;Gemeente;Provinciecode;Provincie;Zorgkantoorcode;Zorgkantoor;Rechtspersoon
5707;HELMOND           ;794;HELMOND                 ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5708;HELMOND           ;794;HELMOND                 ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5709;HELMOND           ;794;HELMOND                 ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5710;SOMEREN           ;847;SOMEREN                 ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5711;SOMEREN           ;847;SOMEREN                 ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5712;SOMEREN           ;847;SOMEREN                 ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5715;LIEROP            ;847;SOMEREN                 ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5720;ASTEN             ;743;ASTEN                   ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5721;ASTEN             ;743;ASTEN                   ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5724;OMMEL             ;743;ASTEN                   ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5725;HEUSDEN GEM ASTEN ;743;ASTEN                   ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5730;MIERLO            ;1771;GELDROP-MIERLO          ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5731;MIERLO            ;1771;GELDROP-MIERLO          ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5735;AARLE RIXTEL      ;1659;LAARBEEK                ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5737;LIESHOUT          ;1659;LAARBEEK                ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5738;MARIAHOUT         ;1659;LAARBEEK                ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5740;BEEK EN DONK      ;1659;LAARBEEK                ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
